KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
1107,Aceh Barat,Jenjang Pendidikan SD,7.677
1112,Aceh Barat Daya,Jenjang Pendidikan SD,19.5301
1104,Aceh Tenggara,Jenjang Pendidikan SD,9.7628
1105,Aceh Timur,Jenjang Pendidikan SD,12.7476
1116,Aceh Jaya,Jenjang Pendidikan SD,8.189
1102,Aceh Singkil,Jenjang Pendidikan SD,20.3274
1114,Aceh Tamiang,Jenjang Pendidikan SD,4.5008
1108,Aceh Besar,Jenjang Pendidikan SD,4.7619
1103,Aceh Selatan,Jenjang Pendidikan SD,14.9512
1106,Aceh Tengah,Jenjang Pendidikan SD,11.0143
1111,Aceh Utara,Jenjang Pendidikan SD,16.394
1110,Bireuen,Jenjang Pendidikan SD,14.8064
1117,Bener Meriah,Jenjang Pendidikan SD,1.5476
1113,Gayo Lues,Jenjang Pendidikan SD,5.7003
1115,Nagan Raya,Jenjang Pendidikan SD,7.1179
1109,Pidie,Jenjang Pendidikan SD,12.9542
1101,Simeulue,Jenjang Pendidikan SD,13.9597
5103,Badung,Jenjang Pendidikan SD,3.0398
5108,Buleleng,Jenjang Pendidikan SD,2.4261
5106,Bangli,Jenjang Pendidikan SD,1.9084
5104,Gianyar,Jenjang Pendidikan SD,2.487
5101,Jembrana,Jenjang Pendidikan SD,6.7944
5107,Karang Asem,Jenjang Pendidikan SD,3.8807
5105,Klungkung,Jenjang Pendidikan SD,4.0795
5102,Tabanan,Jenjang Pendidikan SD,1.9468
1901,Bangka,Jenjang Pendidikan SD,4.4898
1903,Bangka Barat,Jenjang Pendidikan SD,3.0755
1902,Belitung,Jenjang Pendidikan SD,11.3995
1904,Bangka Tengah,Jenjang Pendidikan SD,6.1249
1905,Bangka Selatan,Jenjang Pendidikan SD,5.3145
1906,Belitung Timur,Jenjang Pendidikan SD,2.8264
1701,Bengkulu Selatan,Jenjang Pendidikan SD,13.6364
1703,Bengkulu Utara,Jenjang Pendidikan SD,13.3136
1704,Kaur,Jenjang Pendidikan SD,9.2677
1708,Kepahiang,Jenjang Pendidikan SD,8.6957
1707,Lebong,Jenjang Pendidikan SD,9.0909
1706,Muko-muko,Jenjang Pendidikan SD,5.9621
1702,Rejang Lebong,Jenjang Pendidikan SD,7.8004
1705,Seluma,Jenjang Pendidikan SD,21.2978
3602,Lebak,Jenjang Pendidikan SD,15.8947
3601,Pandeglang,Jenjang Pendidikan SD,7.0157
3604,Serang,Jenjang Pendidikan SD,12.2571
3671,Kota Tangerang,Jenjang Pendidikan SD,3.1457
3603,Tangerang,Jenjang Pendidikan SD,6.6136
7504,Bone Bolango,Jenjang Pendidikan SD,20.5587
7501,Boalemo,Jenjang Pendidikan SD,11.4407
7502,Gorontalo,Jenjang Pendidikan SD,6.05635
7505,Gorontalo Utara,Jenjang Pendidikan SD,9.9408
