KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
6402,"Kab. Kutai Barat, Kalimantan Timur",Jenjang Pendidikan SLB,100
5319,"Kab. Manggarai Timur, Nusa Tenggara Timur",Jenjang Pendidikan SLB,100
1208,"Kab. Asahan, Sumatera Utara",Jenjang Pendidikan SLB,90
5315,"Kab. Manggarai Barat, Nusa Tenggara Timur",Jenjang Pendidikan SLB,71.4286
1507,"Kab. Tanjung Jabung Barat, Jambi",Jenjang Pendidikan SLB,52.6316
1410,"Kab. Kepulauan Meranti, Riau",Jenjang Pendidikan SLB,51.7241
1706,"Kab. Muko-muko, Bengkulu",Jenjang Pendidikan SLB,50
3503,"Kab. Trenggalek, Jawa Timur",Jenjang Pendidikan SLB,38.8889
3511,"Kab. Bondowoso, Jawa Timur",Jenjang Pendidikan SLB,36.1111
1171,"Kota Banda Aceh, Aceh",Jenjang Pendidikan SLB,35.2941
3276,"Kota Depok, Jawa Barat",Jenjang Pendidikan SLB,33.6134
5301,"Kab. Sumba Barat, Nusa Tenggara Timur",Jenjang Pendidikan SLB,33.3333
7406,"Kab. Bombana, Sulawesi Tenggara",Jenjang Pendidikan SLB,33.3333
3527,"Kab. Sampang, Jawa Timur",Jenjang Pendidikan SLB,30
7106,"Kab. Minahasa Utara, Sulawesi Utara",Jenjang Pendidikan SLB,25.9259
3522,"Kab. Bojonegoro, Jawa Timur",Jenjang Pendidikan SLB,24.2424
7305,"Kab. Takalar, Sulawesi Selatan",Jenjang Pendidikan SLB,23.5294
3515,"Kab. Sidoarjo, Jawa Timur",Jenjang Pendidikan SLB,23.0769
7311,"Kab. Bone, Sulawesi Selatan",Jenjang Pendidikan SLB,22.4138
1605,"Kab. Musi Rawas, Sumatera Selatan",Jenjang Pendidikan SLB,20
3301,"Kab. Cilacap, Jawa Tengah",Jenjang Pendidikan SLB,18.8679
3316,"Kab. Blora, Jawa Tengah",Jenjang Pendidikan SLB,18.5185
3218,"Kab. Pangandaran, Jawa Barat",Jenjang Pendidikan SLB,18.5185
7304,"Kab. Jeneponto, Sulawesi Selatan",Jenjang Pendidikan SLB,17.0732
3215,"Kab. Karawang, Jawa Barat",Jenjang Pendidikan SLB,15.7895
7402,"Kab. Muna, Sulawesi Tenggara",Jenjang Pendidikan SLB,15.3846
3521,"Kab. Ngawi, Jawa Timur",Jenjang Pendidikan SLB,15.3846
7604,"Kab. Mamuju, Sulawesi Barat",Jenjang Pendidikan SLB,14.7059
5205,"Kab. Dompu, Nusa Tenggara Barat",Jenjang Pendidikan SLB,14.5833
5304,"Kab. Timor Tengah Selatan, Nusa Tenggara Timur",Jenjang Pendidikan SLB,13.8889
8101,"Kab. Maluku Tenggara Barat, Maluku",Jenjang Pendidikan SLB,12.5
