KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
9435,"Kab. Intan Jaya, Papua",Jenjang Pendidikan SMA,50
9430,"Kab. Lanny Jaya, Papua",Jenjang Pendidikan SMA,47.3684
1172,"Kota Sabang, Aceh",Jenjang Pendidikan SMA,40.9091
1225,"Kab. Nias Barat, Sumatera Utara",Jenjang Pendidikan SMA,38.7931
1175,"Kota Subulussalam, Aceh",Jenjang Pendidikan SMA,29.5238
7412,"Kab. Konawe Kepulauan, Sulawesi Tenggara",Jenjang Pendidikan SMA,26.5306
9434,"Kab. Dogiyai, Papua",Jenjang Pendidikan SMA,22.2222
1807,"Kab. Way Kanan, Lampung",Jenjang Pendidikan SMA,21.4076
1224,"Kab. Nias Utara, Sumatera Utara",Jenjang Pendidikan SMA,20.3704
9108,"Kab. Raja Ampat, Papua Barat",Jenjang Pendidikan SMA,20
1101,"Kab. Simeulue, Aceh",Jenjang Pendidikan SMA,18.4713
5321,"Kab. Malaka, Nusa Tenggara Timur",Jenjang Pendidikan SMA,17.619
1116,"Kab. Aceh Jaya, Aceh",Jenjang Pendidikan SMA,17.5258
7209,"Kab. Tojo Una-Una, Sulawesi Tengah",Jenjang Pendidikan SMA,17.4312
5304,"Kab. Timor Tengah Selatan, Nusa Tenggara Timur",Jenjang Pendidikan SMA,17.3077
7405,"Kab. Konawe Selatan, Sulawesi Tenggara",Jenjang Pendidikan SMA,16.9381
9431,"Kab. Membramo Tengah, Papua",Jenjang Pendidikan SMA,16.6667
1204,"Kab. Tapanuli Tengah, Sumatera Utara",Jenjang Pendidikan SMA,16.6667
5317,"Kab. Sumba Barat Daya, Nusa Tenggara Timur",Jenjang Pendidikan SMA,16.4179
1201,"Kab. Nias, Sumatera Utara",Jenjang Pendidikan SMA,15.7895
1111,"Kab. Aceh Utara, Aceh",Jenjang Pendidikan SMA,15.7724
1173,"Kota Langsa, Aceh",Jenjang Pendidikan SMA,15.3374
6107,"Kab. Sintang, Kalimantan Barat",Jenjang Pendidikan SMA,15.1057
5305,"Kab. Timor Tengah Utara, Nusa Tenggara Timur",Jenjang Pendidikan SMA,14.9847
9414,"Kab. Mappi, Papua",Jenjang Pendidikan SMA,14.9254
7403,"Kab. Konawe, Sulawesi Tenggara",Jenjang Pendidikan SMA,14.9007
1214,"Kab. Nias Selatan, Sumatera Utara",Jenjang Pendidikan SMA,14.8936
8204,"Kab. Halmahera Selatan, Maluku Utara",Jenjang Pendidikan SMA,14.1414
1813,"Kab. Pesisir Barat, Lampung",Jenjang Pendidikan SMA,13.5338
3209,"Kab. Cirebon, Jawa Barat",Jenjang Pendidikan SMA,13.4307
7201,"Kab. Banggai Kepulauan, Sulawesi Tengah",Jenjang Pendidikan SMA,13.3858
1403,"Kab. Indragiri Hilir, Riau",Jenjang Pendidikan SMA,13.2432
7471,"Kota Kendari, Sulawesi Tenggara",Jenjang Pendidikan SMA,13.2275
9171,"Kota Sorong, Papua Barat",Jenjang Pendidikan SMA,13.1068
7415,"Kab. Buton Selatan, Sulawesi Tenggara",Jenjang Pendidikan SMA,13.0952
