KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
1217,"Kab. Samosir, Sumatera Utara",Jenjang Pendidikan SMK,0
7314,"Kab. Sidenreng Rappang, Sulawesi Selatan",Jenjang Pendidikan SMK,0
8105,"Kab. Kepulauan Aru, Maluku",Jenjang Pendidikan SMK,0
6402,"Kab. Kutai Barat, Kalimantan Timur",Jenjang Pendidikan SMK,0
1203,"Kab. Tapanuli Selatan, Sumatera Utara",Jenjang Pendidikan SMK,0
1174,"Kota Lhokseumawe, Aceh",Jenjang Pendidikan SMK,0
9411,"Kab. Puncak Jaya, Papua",Jenjang Pendidikan SMK,0
3579,"Kota Batu, Jawa Timur",Jenjang Pendidikan SMK,0
1311,"Kab. Dharmasraya, Sumatera Barat",Jenjang Pendidikan SMK,0
7412,"Kab. Konawe Kepulauan, Sulawesi Tenggara",Jenjang Pendidikan SMK,0
9112,"Kab. Pegunungan Arfak, Papua Barat",Jenjang Pendidikan SMK,0
6471,"Kota Balikpapan, Kalimantan Timur",Jenjang Pendidikan SMK,0
9412,"Kab. Mimika, Papua",Jenjang Pendidikan SMK,0
7410,"Kab. Konawe Utara, Sulawesi Tenggara",Jenjang Pendidikan SMK,0
5101,"Kab. Jembrana, Bali",Jenjang Pendidikan SMK,0
9416,"Kab. Yahukimo, Papua",Jenjang Pendidikan SMK,0
7310,"Kab. Barru, Sulawesi Selatan",Jenjang Pendidikan SMK,0
1704,"Kab. Kaur, Bengkulu",Jenjang Pendidikan SMK,0
6204,"Kab. Barito Selatan, Kalimantan Tengah",Jenjang Pendidikan SMK,0
1674,"Kota Lubuk Linggau, Sumatera Selatan",Jenjang Pendidikan SMK,0
9111,"Kab. Manokwari Selatan, Papua Barat",Jenjang Pendidikan SMK,0
6111,"Kab. Kayong Utara, Kalimantan Barat",Jenjang Pendidikan SMK,0
1305,"Kab. Tanah Datar, Sumatera Barat",Jenjang Pendidikan SMK,0
9402,"Kab. Jaya Wijaya, Papua",Jenjang Pendidikan SMK,0
2172,"Kota Tanjungpinang, Kepulauan Riau",Jenjang Pendidikan SMK,0
1115,"Kab. Nagan Raya, Aceh",Jenjang Pendidikan SMK,0
1906,"Kab. Belitung Timur, Bangka Belitung",Jenjang Pendidikan SMK,0
9104,"Kab. Teluk Bintuni, Papua Barat",Jenjang Pendidikan SMK,0
6104,"Kab. Mempawah, Kalimantan Barat",Jenjang Pendidikan SMK,0
