KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
1101,"Kab. Simeulue, Aceh",Jenjang Pendidikan SMP,22.9167
1102,"Kab. Aceh Singkil, Aceh",Jenjang Pendidikan SMP,8.6614
1103,"Kab. Aceh Selatan, Aceh",Jenjang Pendidikan SMP,29.0828
1104,"Kab. Aceh Tenggara, Aceh",Jenjang Pendidikan SMP,13.1183
1105,"Kab. Aceh Timur, Aceh",Jenjang Pendidikan SMP,17.4184
1106,"Kab. Aceh Tengah, Aceh",Jenjang Pendidikan SMP,7.4792
1107,"Kab. Aceh Barat, Aceh",Jenjang Pendidikan SMP,13.0159
1108,"Kab. Aceh Besar, Aceh",Jenjang Pendidikan SMP,13.2353
1109,"Kab. Pidie, Aceh",Jenjang Pendidikan SMP,6.4327
1110,"Kab. Bireuen, Aceh",Jenjang Pendidikan SMP,23.0474
1111,"Kab. Aceh Utara, Aceh",Jenjang Pendidikan SMP,23.9316
1112,"Kab. Aceh Barat Daya, Aceh",Jenjang Pendidikan SMP,8.4291
1113,"Kab. Gayo Lues, Aceh",Jenjang Pendidikan SMP,15.2381
1114,"Kab. Aceh Tamiang, Aceh",Jenjang Pendidikan SMP,8.6957
1115,"Kab. Nagan Raya, Aceh",Jenjang Pendidikan SMP,17.4917
1116,"Kab. Aceh Jaya, Aceh",Jenjang Pendidikan SMP,14.9701
1117,"Kab. Bener Meriah, Aceh",Jenjang Pendidikan SMP,2.346
1118,"Kab. Pidie Jaya, Aceh",Jenjang Pendidikan SMP,36.0465
1171,"Kota Banda Aceh, Aceh",Jenjang Pendidikan SMP,5.5263
1172,"Kota Sabang, Aceh",Jenjang Pendidikan SMP,3.9474
1173,"Kota Langsa, Aceh",Jenjang Pendidikan SMP,5.3872
1174,"Kota Lhokseumawe, Aceh",Jenjang Pendidikan SMP,3.6545
1175,"Kota Subulussalam, Aceh",Jenjang Pendidikan SMP,7.4286
1201,"Kab. Nias, Sumatera Utara",Jenjang Pendidikan SMP,18.3206
1202,"Kab. Mandailing Natal, Sumatera Utara",Jenjang Pendidikan SMP,5.4017
1203,"Kab. Tapanuli Selatan, Sumatera Utara",Jenjang Pendidikan SMP,12.2353
1204,"Kab. Tapanuli Tengah, Sumatera Utara",Jenjang Pendidikan SMP,18.7207
1205,"Kab. Tapanuli Utara, Sumatera Utara",Jenjang Pendidikan SMP,6.2422
1206,"Kab. Toba Samosir, Sumatera Utara",Jenjang Pendidikan SMP,11.5028
1207,"Kab. Labuhan Batu, Sumatera Utara",Jenjang Pendidikan SMP,13.0435
1208,"Kab. Asahan, Sumatera Utara",Jenjang Pendidikan SMP,8.3333
1209,"Kab. Simalungun, Sumatera Utara",Jenjang Pendidikan SMP,11.9542
1210,"Kab. Dairi, Sumatera Utara",Jenjang Pendidikan SMP,5.4015
1211,"Kab. Karo, Sumatera Utara",Jenjang Pendidikan SMP,8.5282
1212,"Kab. Deli Serdang, Sumatera Utara",Jenjang Pendidikan SMP,6.453
1213,"Kab. Langkat, Sumatera Utara",Jenjang Pendidikan SMP,7.2872
1214,"Kab. Nias Selatan, Sumatera Utara",Jenjang Pendidikan SMP,35.7419
1215,"Kab. Humbang Hasudutan, Sumatera Utara",Jenjang Pendidikan SMP,7.2407
